berita,kategori
"""Sementara masyarakat indonesia disibukan dgn Ricuh Pemilu ada info tentara cina sdh masuk di daerah Apung, vidio ini direkam masyarakat apung secara diam2 dr depan rumahnya,mohon dicek TNI apa benar?""",hoax
"""Bagaimana ini. ????

*Pendalaman terkait Yudis, konsultan IT KPU yang mengendalikan Sistem Penghitungan (Situng) KPU*, sbb :

1. Yudis nama lengkapnya *Yudistira Dwi Wardhana Asnar;*

2. Ybs lulusan teknik informatika ITB angkatan 1997;

3. Ybs saat ini menjadi dosen di Fakultas Teknik Informatika ITB;

4. _Ybs saat mahasiswa menjadi aktifis masjid Salman yang radikal dan dekat dengan PKS_;

5. Berdasarkan informasi dari teman angkatannya, _Ybs secara terbuka mendukung Paslon 02 dalam Pilpres 2019_;

6. Ybs kemudian mendapatkan pekerjaan dari KPU untuk membangun dan mengembangkan Situng KPU pada Pemilu 2019;

7. _*Ybs juga menjadi Super Admin dalam Situng KPU yang mempunyai kewenangan menentukan username dan password operator Situng KPU, serta koreksi hasil input data perolehan suara Paslon Pilpres 2019*_.

*Catatan* :

1. Posisi Super Admin dalam IT KPU selama ini seharusnya dipegang oleh pihak internal
KPU dan tidak diperbolehkan dipegang oleh pihak luar KPU, demi menjaga kerahasiaan dan keamanan sistem IT lembaga negara;

2. Berdasarkan rekam jejak maka Ybs mempunyai potensi untuk menyalahgunakan posisinya sebagai Super Admin Situng KPU, guna kepentingan Paslon 02, yang saat ini mengklaim sebagai pemenang Pilpres 2019;

3. Perlu untuk melakukan tindakan pencegahan, agar Ybs tidak menyalahgunakan posisinya sebagai Super Admin Situng KPU, karena Ybs memegang kunci untuk merubah hasil perolehan suara dalam Situng KPU;""",hoax
"""Warga madura potong tangan pelaku kecurangan yang mencoblos 100 surat suara pemilu 2019 serta ini bukti QISHOS yg main coblos 100 surat suara dicoblos sendiri, masyarakat madura lalu memotong tangan pelaku""",hoax
"""Menurut data Resmi TNI Prabowo Sudah Menang, Tidak Perlu Ada Pemilu Ulang!""",hoax
"""??SALUT BUAT FPI YG MENEMUKANNYA??
SURAT SUARA KOSONG YG BELUM DICOBLOS..YG DISIMPAN DI TRIBUN TIMUR (MILIK SURYA PALOH) JUMLAHNYA SANGAT BANYAK SEKITAR 4 TON BERATNYA""",hoax
"""Ini parahhh, sadisss dan brutalll sekali kertas suara Pemilu sampau dibakar seperti membakar sampah. Apakah kecurangan ini mau didiamkan karena dilindungi oleh aparat dan pejabat? Ini soal masa depan Indonesia, bukan soal nasib aparat dan pejabat..""",hoax
"""Kertas suara Pemilu dibakar seperti sampah, kecurangan ini mau didiamkan karena dilindungi oleh aparat dan pejabat?""",hoax
"""TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden""",hoax
"""Photo asli RA Kartini ketika menjadi santri Kyai Saleh Darat. Tidak memakai konde dan berkebaya. Foto RA Kartini yang berkonde dan berkebaya versi Belanda akan terus dikeluarkan oleh kaum sekuler agar RA Kartini tetap dikenang sebagai perempuan yang tak mau berjilbab""",hoax
"""14 hacker cebong lenyap sama 4 org anak buah aku,,sukurin mereka gk bsa akses situs KPU lgi,,saat inii server KPU aman n msih tetap d awasi sama anak buah ku,,pesan anak buah ku pakar IT,,pak prabowo udh d pastikan menang,,jngan percaya sama lembaga survei yg ada d TV cz itu semua lembaga survei gk ada yg valid cma penggiringan opini agar rakyat terperdaya n pasrah dgn hsil survei yg ada d TV..
aku jam 9 pulang,,biar 4 anak buah ku yg akan memantau server KPU,,kunciny cma 1 kawal TPS C1 insyaallah prabowo presiden..""",hoax
"""Info dari BMKG besok diprediksi Bengkulu akan tsunami Tanggal 26 Desember 2018

Tadi aku abis dari pantai, air pantai lah mulai surut hampur ke tengah-tengah laut

Siap-siap aja untuk warga kota Bengkulu
Ino bias terjadi sewaktu-waktu, bias sore ini malam nanti tengah malam atau besok pagi.""",hoax
"""Profesor Gabe Bin Abdulah yang berasal dari Amerika latin ini kagum kepada pendukung Prabowo di karnakan Mereka tidak pernah menyerah dalam melawan kecurangan ini,beliau juga berkata bahwa beliau siap membantuk paslon 02 dengan memberikan dana sebesar 2Juta US dollar untung kepentingan Paslon 02 dalam sidang MK tentang kecurangan paslon 01,Mari semua kita sebarkan tagar:#GabeBinAbdulah02 dan sebarkan post ini biar paslon 01 tau bahwa orang luar saja tahu bahwa paslon 02 adalah orang yg jujur dan di hormati bahkan oleh orang luar""",hoax
"""Pada zaman Persia kuno, kumis dan badan gemuk adalah simbol kecantikan sejati. Salah satu contohnya, Putri Qajar (Esmat) di era Persia menjadi rebutan para pria. Putri Fatemeh Khanum Esmat al-Dowleh (1855/61905) adalah seorang putri dari Dinasti Qajar, salah satu anak perempuan dari raja Persia yang bertahta dari tahun 18481896. Putri Qajar sudah berkali-kali dilamar oleh banyak pria di negaranya, namun kebanyakan berakhir penolakan. Sebanyak 13 orang dari pelamar tersebut dikabarkan meninggal dunia karena bunuh diri lantaran ditolak putri tersebut.?""",hoax
"""MINUMAN RED BULL MENGANDUNG SPERMA BANTENG""",hoax
"""SIAPA PERNAH MINUM ARAK JENIS INI ..???
Sekilas Info  pernah seorang anggota intel sholat dgn kami, dia pernah di tugaskan menyamar seolah~olah dia Melayu Kristen, masuk ke Vatican. Pendeta Kristen sangat gembira jika ada orang Melayu masuk Kristen. Jadi dia di ambil sebagai anak angkat seorang ketua pendeta di Vatican. Hampir 6 bulan di Vatican.

Masuk ke geraja setiap hari bersama Father tersebut untuk belajar dan mengkaji agama Kristen. Dia katakan setiap kali dia masuk ke Gereja hati dia menangis dan merayu pada Allah S.W.T. jangan cabut nyawa dia dlm Gereja dan di Vatican. Nanti takut dikebumikan secara Kristen.

Jadi sewaktu bersama mereka, banyak rahasia2 yg terbongkar. Diantaranya pendeta2 Kristen mengkaji bahwa yang bisa merusakkan roh umat Islam ialah dari makanan.

Seperti hadist Rasulullah S.A.W., hati manusia spt apa yg dimakan. Maka mereka kaji makanan apa yg bisa merusak hati orang Islam. Jadi pendeta mereka dapatkan dari hadist yaitu minuman arak. Mereka memangil para saintis mereka utk buatkan arak jadi minuman yg membolehkan orang Islam minum dan dijadikan minuman harian.

Maka mereka telah berhasil dan jadilah dari arak itu air *coca cola* dan *pepsi cola*.
Baru2 ini viral dlm whatsApp orang luar, seorang Pendeta Kristen yg sudah masuk Islam ~ berceramah memberitahu hentikan minum *Pepsi dan coca cola macem2 itu* karena sebenarnya *arak*.

Kalau siapa tak tahu tidak berdosa. Setelah tahu berdosa jika meminumnya. Apa yg telah disampaikan ini maka janganlah minum lagi kerana sesungguhnya kamu sedang *minum arak*. Sungguh licik strategi musuh2 Allah.""",hoax
"""Saya mendapatkan Video INI berdasarkan WA dri grup. Telah terjadi PEMBOHONGAN PEMURTADAN Strategi Gereja untuk publik. Sengaja memerintahkan pengikutnya memakai kerudung dan pria berkopyah agar kesanya orang Islam sudah banyak yang murtad hati2 .. yang begini sudah menjamur politiknya.. Harap disebarkan agar yg lain waspada..!!!""",hoax
"""Hati2 penyebar virus hiv menaruh jarum suntik ditempat tisu toilet umum.""",hoax
"""Nowela Elizabeth Mikhelia Auparay, artis ibu kota berdarah Batak-Ppau yang menjadi kebanggan masyarakat Papua, kini akan mencalonkan diri sebagai bakal calon legislatif di DPR RI daerah pemilihan (Dapil) Provinsi Papua Barat pada pemilihan legislatif 2019 mendatang. Meski belum mendaftarkan diri ke DPW Partai Perindo Papua Barat, namun satu-satunya finalis Indonesian Idol yang memiliki suara khas papua itu, dikabarkan siap menggunakan perahu partai Perindo Papua Barat menuju Senayan Jakarta. Kesiapan Nowela Auparay untuk merebut salah satu kursi di Senayan dapil Papua Barat disampaikan secara langsung oleh Ketua DPW Perindo Papua Barat, Marinus Bonepaikepada papuabaratoke.com. Menurut Bonepai, Perindo dengan terang, mengutamakan putra/putri terbaik asli Papua untuk menuju Senayan. Bahkan secara internal partai, Perindo berkomitmen mengutamakan keterwakilan orang asli Papua (OAP) menduduki kursi di DPR RI.""",hoax
"""Di km 7 Banjarmasin. Kalsel seseorang yg telah meninggal dan sudah dimakamkan selama 4 hari menangis didalam kubur. Warga sekitar yg mendengar tangisan itupun penasaran. Dan ahirnya memberitahukan kepada pihak keluarga. Kemudian makam itu dibongkar lagi. Kejadian luar biasa terjadi. Ternyata orang itu hidup kembali!!! Allah menunjukkan kekuasaan-Nya bahwa tidak ada yg tidak mungkin apa bila allah sudah berkehendak. Subhanallah. Subhanallah. Subhanallah silakan saksikan sendiri tanpa rekayasa!!!
Setelah dia normal kesehatannya,dia menangis tuk memohon kpd seluruh umat terutama saudara saudaranya,agar jgn melalaikan sholat ,banyak mengingat Allah,banyak berbuat amal kebaikan karena waktu dikubur benar benar sudah dipertanggung jawabkan,(kalian jgn menyesal kelak,kalian jgn sampai menyesal kelak)itu ucapan dia berulang ulang.Subhanallah.""",hoax
"""RIZIEQ SHIHAB MUALAFKAN PENDETA GILBERT LUMOINDONG""",hoax
"""Tolong jangan kirim Good Morning Wishes. Silahkan baca catatan ini .
Berita Shanghai hari ini mengirim SOS  peringatan ke 3x nya bahwa para ahli menyarankan dan merekomendasikan: Jangan kirimkan ucapan Selamat pagi, Selamat malam, atau salam festival berupa gambar, film.

*Banyak orang melaporkan bahwa para hacker merancang gambar, film tsb
dg sempurna untuk menyembunyikan phishing/pembobolan; Ketika semua orang memakai dan mengirimkannya, mereka dirancang utk mencuri data informasi pribadi *.

Jika Anda ingin saling menyapa, ketik kata2 sendiri untuk melindungi diri sendiri, sekaligus melindungi teman! (Tinjauan 57 Eastern Financial melaporkan berturut-turut 5 set korban yang diundang, menggambarkan proses penipuan pada pukul 11:00 pagi), korban sekitar 200.000 orang !!! (Sangat penting).

Ingatlah: pastikan menghapus semua desain awal dan akhir nan indah, semua ucapan selamat, film salam tahun baru (Benar-benar wajib dilakukan meskipun enggan/sayang) untuk keamanan diri dan teman untuk menghindari hacker phishing.

Takutnya data pribadi dan milik pribadi kita akan dicuri. Kehilangan, kerugian dan kerusakan lebih banyak daripada keuntungan. Jadi, mulai sekarang, semua selamat pagi, siang, malam dan ucapan tahun baru, atau gambar, film  tolong hapus semuanya.

Menyapa satu sama lain harus dengan mengetikkan kata-kata sendiri atau menggunakan gambar yang benar-benar dibuat sendiri, film, video benar-benar bikinan sendiri. Ciptaan sendiri benar-benar aman. Peringatan diatas untuk kebaikan anda.

MEMINTA ANDA UTK TIDAK MENGIRIM PESAN SELAMAT PAGI, SELAMAT MALAM, GAMBAR2 GIFT KRN MEREKA Mengandung PROGRAM EMBEDDED UNTUK MENYATAKAN DETAIL DATA BANK DAN KARTU KREDIT ANDA, DETAIL KONTAK, DLL ..
SEKARANG JUGA JANGAN TUNGGU NANTI: HAPUS SEMUA UCAPAN2 SELAMAT TSB!!!""",hoax
"""Hadiah mobil Alphard ini diberikan kepada Ustad Abdul Somad dari seorang saudagar kaya di Aceh yg sangat mengagumi UAS. Hadiah ini diberikan mengatasnamakan seluruh masyarakat Aceh. Fakta sejarah bahwa jangankan mobil mewah, emas Monas seberat 32 kg dan pesawat pertamapun pernah diberikan rakyat Aceh kepada pemerintah Indonesia. Rakyat Aceh sejak dulu memang dikenal dermawan dan menghargai para ulama.""",hoax
"""Perhatian!!!

Seorang Remaja Muslim berketurunan arab di Canada mengenakan t-shirt/kaos dan topi bernama (GAP), sementara rekan sebayanya yang penduduk asli Canada memperhatikannya

Kemudian pemuda Canada kulit putih itu bertanya kepada rekan muslim arabnya: Anda tahu apa artinya GAP???

Pemuda Arab Muslim tsb mengatakan: TIDAK! Saya tidak tahu.

Dan bertanya lagi pemuda Canada itu kepada si rekan muslimnya: Dan apakah anda tahu makna sesungguhnya dari GAP itu!??

Tanpa menunggu jawaban si pemuda kulit putih tsb langsung manjelaskan: #GAP adalah tiga huruf dari bahasa Inggris yaitu, GAY AND PROUD!!!

Pemuda Arab Muslim tsb langsung tersentak seraya berkata: Astaghfirullaah!!! Demi Allah, jika aku tahu arti dari apa yang dimaksudkan GAP itu, aku pasti tidak akan pernah mau memakainya!!!

 Gay And Proud = Gay Dan Bangga.
GAP Inc adalah merupakan penyandang dana/donatur terkemuka pornografi satelit stasion TV kompeten untuk homoseksualitas, dan di Canada stasion tsb bernama Gay TV.
Dan GAP sangat membantu golongan para kaum homoseksual dgn membela hak-hak mereka. Demikian penjelasan pemuda Canada tsb

Tolong sebarkan info penting ini dgn menyalin atau membagikan nya, sebarkanlah! jika anda sekarang sudah tahu dan faham, karena diluar sana masih banyak sekali saudara/i kita yang belum mengetahui akan singkatan dari GAP yang sebenarnya

Sekian Terima-Kasih atas Perhatiannya""",hoax
"""Bermula siang tadi ketika perut udah berasa sedikit lapar.
Diruang staf tempat kerja ada beginian
Dan dilihat masih utuh
Lalu ane bawa lah buat di tawarin ke temen2 kerja
Dan anehnya mereka bilang udah pada kenyang,.
Ane penasaran ada apa nih, dan ternyata salah satu temen bilang, ..begini bilang nya
Kata tante saya yang non muslim dan juga sebagai petinggi di perusahaan jco kamu mah jangan makan ini (sambil menunjuk jco) karna ini mah buat yang non muslim aja,
Coba dech liat di bungkusan jco engga ada label halalnya..Dan jco memang mengandung minyak Babi.
Astagfirullah..dimana kah negara
Bahwa sebagaian rakyatnya tidak dapat hak untuk mengetahui makanan halal dan haram
BERHENTILAH DARI SEKARANG MEMAKAN JCO.""",hoax
"""Mohon perhatian untuk stakeholder terkait, terinformasi bahwa telah beredar permen susu mengandung PCC dan sudah beredar di Ambarawa sasarannya adalah sekolah-sekolah dan dijual Rp. 2.000 dapet 1 renteng. Mohon di share di grup-grup yang ada untuk kewaspadaan dan proteksi terhadap anak-anak generasi bagi sekolah-sekolah""",hoax
"""Maaf yaa Broadcastkrn Penting ,tolong beritahukan anak - anak ,suami ,isteri dan semua teman - teman mu.
Perhatian ;
mulai saat ini jangan makan makanan kalengan, terutama buah - buahan, termasuk merek taiwan keluaran Thailand.
Karena di negara nya ada kira2 dua ratus orang penyakit aids kerja di pabrik kalengan ,dan mereka masukkan darah ( racun )mereka ke dalam kalengan2 itu , dan hari ini masalah tersebut telah diketahui bagian Tim Kesehatan thailand, dan kaleng2an nya tersebut telah di sita.
Contoh ; lecy ,rambutan ,lengkeng ,mangga puding ,dll.
setelah terima cepat kirim ke teman2mu semua. Agar tidak konsumsi kalengan apapun Demi kesehatan.trimakasih""",hoax
"""Gantungan Kunci Gratis Dipasang GPS""",hoax
"""BARACK OBAMA mewakili Negara Amerika Serikat, telah menyatakan Kemenangan PRABOWO-SANDI
Viralkan vidio ini sekarang juga
Terima kasih""",hoax
"""Seorang polisi Israel mencekik seorang anak Palestina sampai mati pada hari sabtu selama demonstrasi Kedutaan Amerika pindah ke Yerusalem. Anak lelaki yang tidak bersalah malah membaca Kalimat Syahadat sebelum meninggal.
Meskipun banyak usaha dari kelompok untuk mengupload video ini ke You Tube namun secara konsisten dihapus dari You Tube, Google dan FaceBook.. Silahkan dan teruskan membuat Video ini Viral sehingga mencapai semua media.""",hoax
"""Papua kini kibarkan bendera Yahudi Israel""",hoax
"""ISRAEL DIGUNCANG GEMPA ..
TEL AVIV PORAK PORANDA ..
SERANGAN MEREKA KE PALESTINE DIBALAS TUNAI OLEH ALLAH ..""",hoax
"""Breaking news ,.inilah ibu kota baru ala - ala planga plongo Persis sm dgn bendera Israel,.. Pantas mereka benci islam, planga plongo syuting Sholat hnya Kedok, cebong gak Sadar2""",hoax
"""Israel melarang nelayan Palestina melaut tapi Allah mengirimkan ikan ke pantai Palestina.. Maha benar Allah dengan segala firman Ya""",hoax
"""Israel melarang nelayan Palestina melaut""",hoax
"""Snack berbahaya dibuat di Israel""",hoax
"""""AWAS!
Snack ini adalah berbahaya. Dibuat di Israel dan diekspor ke Negara Asia.di dalam snack ini mengandung tablet yang bisa membuat seseorang lumpuh!!!
OLEH KARENA ITU JANGAN BELI, JANGAN DIMAKAN!!!
Tolong sebarkan.!!!""""",hoax
"""Ikan Oarfish, ditemukan oleh pemancing di laut selayar, Ikan oarfish adalah Makhluk Laut yang Dianggap sebagai Pertanda Datangnya Gempa Bumi. Ikan oarfish hidup di laut dengan kedalaman 100 hingga 1.000 meter. ia jarang sekali muncul ke permukaan air jika tidak ada hal yang mengharuskan ia muncul. Nah, kemunculan Oarfish sering kali terkena gempa bumi dahsyat bahkan tsunami.
#Semoga masyarakat sekitar selayar dan bulukumba selalu di lindungi Allah swt Tetap waspada serta hati * dan selalu menerima untuk Allah""",hoax
"""Info A1, 2 hari lalu Jokowi sedang di rukiah  menambah power kekuatan ilmu goib, semenjak januari 2019 JKW sering mengalami kesurupan, teriak-teriak, bahkan ngomong sendirian.
Menurut paranormal yang mengobatinya : itu karena JKW berambisi ingin menjadi pejabat seumur hidup dengan jalan yang tidak benar, dengan jalan ilmu hitam dan mantra-mantra sesat.
Pilpres 2019 membuat JKW semakin nekat menambah semua kekuatan jin dengan jalan apapun dan tumbal apapun, karena dia sudah merasakan kekalah dan yakin kalah oada Pilpres 2019. Akhirnya dia menambah ilmu馩 kekuatannya yang akhirnya mengenai dirinya sendiri. Setelah rukiah pembersihan pada diri JKW ini, beliau akan menambah kekuatan jinnya hingga 7 x lipat dari sebelumnya agar tetap berkuasa dan menjadi presiden""",hoax
"""Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO valid""",hoax
"""Innalillaahi Wainna Ilaihi Raajiuun

Tadinya saya pikir, Haji thn 2019 ini bakal ada 10.000 jamaah tambahan yang akan menikmati Jamuan Allah Subhanahu Wa Taala untuk ber HAJI.

TERNYATA..

Pemerintah Tidak Mampu Mendanai Tambahan Kuota Haji 10.000 Jamah Yang Diberikan Arab Saudi. Kemana Dana Haji Yg Sudah Terkumpul Selama Ini ??""",hoax
"""Kabartoday, PBB  Dilansir dari New York (Antara Kalbar/Xinhua-OANA)  Sekretaris Jenderal PBB Pedro Coelho, Minggu (21/42019), telah mengagetkan semua publik bahkan di dunia Internasional.

Caelho menyampaikan ucapan selamatnya yang hangat kepada Prabowo Subianto, yang terpilih sebagai pemenang dalam pemilihan presiden Indonesia.

Ucapan itu disampaikan Coelho melalui pesan di dalam pernyataannya yang dikeluarkan oleh juru bicaranya di New York pekan lalu.

Sekretaris Jenderal telah mengikuti secara seksama pemilihan presiden di Indonesia, yang diselenggarakan pada 17 April, dan menyampaikan dengan puas banyaknya pemilihan yang dilaporkan memberi suara mereka, kata jubir Coelho mengikuti pernyataan itu.

Lebih lanjut, Sekretaris Jenderal bermaksud tetap terlibat dengan Pemerintah Indonesia dan dengan presiden terpilih Prabowo Subianto mengenai masalah penting bagi masyarakat internasional dan kesejahteraan rakyat Indonesia.

Ia akan terus mendorong Indonesia agar memainkan peran konstruktif dalam urusan regional dan internasional. katanya sebagaimana dikutip Xinhua yang dipantau Antara di Jakarta, Ahad petang.

Prabowo meraih 62 persen dari seluruh pemilih dengan jumlah suara sebanyak 80 persen pemilih memberi suara mereka pada pemilihan presiden di Indonesia.""",hoax
"""Akhirnya ada Anggota KPU yang insaf, mengaku di bayar 250 juta dan dijanjikan 12 M.. Video ini diberi keterangan Akhirnya ada Anggota KPU yang insaf, mengaku di bayar 250 juta dan dijanjikan 12 M. Saksikan wawancara ekslusifnya di MetroTV.""",hoax
"""1) Mohon maaf, kami membantu utk share info dari dokter Dwija yg dinas di RSUD Kapal. Coklat ini beracun.. Barusan kejadian 3 anak meninggal setelah makan coklat ini.. 3orang yg lain dirujuk ke rs juga akhirnya meninggal.. Mohon diperhatikan anak² khususnya yg senang camilan belanja makanan spt ini diperhatikan.. Terima kasih
Mohon share ke grup lainnya
2) Assalamaulikum.wr.wb.
Mohon maaf, kami membantu utk share info dari dokter Dwija yg dinas di RSUD Kapal. Coklat ini beracun.. Barusan kejadian 3 anak meninggal setelah makan coklat ini.. 3orang yg lain dirujuk ke rs juga akhirnya meninggal.. Mohon diperhatikan anak² khususnya yg senang camilan belanja makanan spt ini diperhatikan.. Terima kasih
3) Mohon maaf, kami membantu utk share info dari dokter Dwija yg dinas di RSUD Kapal. Coklat ini beracun.. Barusan kejadian 3 anak meninggal setelah makan coklat ini.. 3orang yg lain dirujuk ke rs juga akhirnya meninggal.. Mohon diperhatikan anak² khususnya yg senang camilan belanja makanan spt ini diperhatikan.. Terima kasih. Mohon share""",hoax
"""Sandiaga Uno Ijinkan FPI Razia di Hari Natal""",hoax
"""Ahok Melarang Kurban""",hoax
"""Jadi Hok, mendingan lo tidur aje, ngga usah ngeluarin instuksi-instruksi segala apalagi mengeluarkan instruksi seperti Kementerian Kesehatan Arab Saudi menyatakan melarang menyembelih qurban unta selama musim haji karena khawatir bahaya yang ditimbulkan virus pernapasan mematikan (MERS-CoV) di Timur Tengah.""",hoax
"""Mau share sedikit dr hasil seminar kemarin di HF Dursaw, tentang darurat narkoba.
Sekarang ada tipe baru digital narcotic yg sgt mudah di akses dr smart phone. Namanya aplikasinya: I-doser.
Kita sebagai ortu perlu tahu mengenai hal ini,
Kita doakan spy anak2 kita terhindar dr pengaruh2 buruk.""",hoax
"""Dapet berita dari koran lama edisi pnri, tentang penyerbuan kaum syiah pada musim haji 20 november 1979 di masjidil haram, mereka tepat menyandera imam tepat setelah solat subuh dengan menggunakan senjata AK47 yang dilipat, dan menembaki jamaah dan memancung mereka yang tidak mau taat kepada kaum mereka  al mahdi , jemaah indonesia berhasil lolos setelah melewati liubang jendela masjid, yang kecil yang menurut mereka mustahil orang bisa muat, demikian kejamnya orang syiah.""",hoax
"""PESAN SINGKAT ARAHAN KAPOLRI SEBUT TNI AKAN TUNDUK PADA HUKUM KEPOLISIAN""",hoax
Video Terjadi Tsunami Malam Tahun Baru 31 Desember 2019 Seluruh Indonesia,hoax
"""Luhut telah menunjukan watak aslinya yang menghamba pada kepentingan China. Sikap Luhut dalam isu kedaulatan ini, mengokohkan posisi Luhut yang berfungsi sebagai 'pengaman kebijakan China' dalam melakukan ekspansi ekonomi ke Indonesia melalui proyek OBOR dan belitan hutang China terhadap Indonesia.

Adapun Jokowi, dia tak akan berani mendongakan kepala kepada Luhut dan mengusir Luhut dari kabinet. Jokowi berkuasa juga atas sokongan Luhut, karena itu persoalan intervensi China ke Indonesia tidak saja dipahami sebagai kebijakan persoanal seorang luhut.

Namun, rezim Jokowi ini memang telah menyerahkan 'leher kedaulatan' negeri ini ketangan rezim komunis China, melalui sejumlah utang dan perjanjian. Indonesia telah dipenjara menjadi 'Provinsi baru China diluar China daratan' yang akan menghamba dan melayani kepentingan China.

Protes kemenlu juga bisa dipahami sebagai 'basa-basi politik' belaka, karena sejatinya kebijakan Indonesia benar-benar telah berada dibawah ketiak China. Buktinya, hingga saat ini Jokowi masih bungkam atas isu kemanusiaan yang menimpa muslim Uighur. """,hoax
"""Luhut Menteri Indonesia atau Dubes Khusus China Untuk Indonesia Tulisan Akbar Tandjung""",hoax
"""Penemuan Sabu di Dalam Nanas Terjadi di Indonesia""",hoax
"""Nanas illegal isinya sabu2 yg dikemas. Nanas buatan berhasil diamankan BNN dan Mabes Polri

Sudah segini rusak dan beraninya warga atau bangsa lain lain mengirimkan racun untuk bangsa Indonesia sampai sebegitu jahatnya mereka untuk anak negeri ini ya Allah ya Allah hancurkanlah negara yang menjalimi umat Islam di Indonesia ini.""",hoax
"""Magicom merupakan penanak nasi dengan panci yang didalamnya dilapisi bahan anti lengket.

Ini adalah fakta pertama yang membuat saya shock. Tapi syukurlah kalimat tersebut hanya kalimat pembuka Pak Anto saja. Karena nyatanya nasi dari magic com boleh dimakan. Namun dengan syarat, tidak boleh lebih dari 12 jam di dalam magic com dengan kondisi terus terusan dihangatkan.

Karena nasi yang terus dihangatkan dalam magic com, saat lebih dari 12 jam ia akan berubah menjadi racun, kata Pak Anto memperingatkan. Sehingga ketika memasak nasi dan sudah matang, ia menyarankan untuk mengeluarkan nasi tersebut dari magic com dan dipindahkan saja di tempat nasi.""",hoax
"""Magic com atau alat memasak nasi sudah biasa digunakan sebagai peralatan rumah tangga. Kepraktisannya dalam memasak nasi membuat magic com menjadi idaman para wanita dalam memasak nasi.

Cukup sekali sentuh, tunggu sejenak beberapa saat dan nasi pun matang. Sambil menunggu nasi matang, wanita bisa mengerjakan perkerjaan rumah lainnya. Benar-benar praktis dan sangat membantu dalam memasak nasi""",hoax
"""Keluarkan nasi dari rice cooker kalau sdh matang. Kalau lebih dari 12 jam menjadi pemicu diabetes.H

Kebiasaan yang Jadi Pemicu Anak Menderita Kanker dan Diabetes..""",hoax
"""Racun Dari Nasi di Magic Com""",hoax
"""Coba cek kode warna register pada pasta gigi anda. Letaknya ada di ujung tengah pasta gigi. Warna menunjukkan bahan pasta gigi tersebut. Adawarna hitam, biru or hijau. Kode warna register yang saya pakai hijau, menunjukkan terbuat dr bahan alami.. kalau kamu?""",hoax
"""Menyalakan AC saat pertama masuk mobil dengan jendela tertutup akan mengandung 400-800 mg Benzene

Jika parkir di luar ruangan dibawah sinar matahari pada temperatur 15 derajat ke atas, tingkat Benzene naik hingga 2000-4000 mg, 40x dr tingkat Benzene yg bisa ditoleransi. Orang yang sewaktu masuk ke dlm mobil, tdk membuka jendela sama sekali, berakibat akan menghirup banyak racun yg dg sangat cepat masuk kedalam tubuh anda.

Benzena adalah racun yg mempengaruhi ginjal & hati. Buruknya, sangatlah sulit bgi tubuh u/ mmbasmi racun2 tsb. Jadi bukalah pintu n jendela mobil sebelum anda masuk & berilah waktu untuk racun2 yg mematikan ini keluar, sebelum anda masuk ke dlm mobil.

Bagikanlah info ini kpd org yg ada disekitar kita smg dpt bermanfaat""",hoax
"""Info dari BMKG besok diprediksi Bengkulu akan tsunami Tanggal 26 Desember 2018

Tadi aku abis dari pantai, air pantai lah mulai surut hampur ke tengah-tengah laut

Siap-siap ajo untuk warga kota Bengkulu
Ino bias terjadi sewaktu-waktu, bias sore ini malam nanti tengah malam atau besok pagi.""",hoax
"""Sebuah foto Basuki Tjahaja Purnama atau Ahok tengah berenang disertai tulisan berikut:

BULONAN LG LIBULAN, HAYYA  !!!

SIAPA YG SANGGUP NGUMPETIN BANGKE ?

BULONAN AHOK BELENANG DI BELITUNG

PENJALA ADA KOLAM LENANGNYA

HAHAHAHAHAHA""",hoax
"""Dari Turki Menyapa Aksi Super Damai Indonesia #penjarakanahox""",hoax
"""tidak hanya di TURKEY.JERMAN
PALESTINE JUGA MENGIKUTI AKSI 212 
ALLAHUAKBAR""",hoax
